page,numero_atomique,nom,symbole,masse_atomique,frequence_hz,forme_vibratoire,polarite_vibratoire,fonction_symbolique,couleur_vibratoire
3,60,Néodyme,Nd,144.24,845,Tétrahédrique,Modulateur,Formation,Vert
3,61,Prométhium,Pm,145.0,852,Pyramide,Activateur,Base du vivant,Jaune
3,62,Samarium,Sm,150.36,859,Hexagone,Diffuseur,Respiration,Or
3,63,Europium,Eu,151.96,866,Spirale,Stabilisateur,Protection,Argent
3,64,Gadolinium,Gd,157.25,873,Cube,Catalyseur,Ancrage,Violet
3,65,Terbium,Tb,158.93,880,Sphère,Émetteur,Origine,Blanc
3,66,Dysprosium,Dy,162.5,887,Double sphère,Isolant,Stabilité,Bleu
3,67,Holmium,Ho,164.93,894,Onde spiralée,Amplificateur,Transmission,Rouge
3,68,Erbium,Er,167.26,901,Tétrahédrique,Modulateur,Formation,Vert
3,69,Thulium,Tm,168.93,908,Pyramide,Activateur,Base du vivant,Jaune
3,70,Ytterbium,Yb,173.05,915,Hexagone,Diffuseur,Respiration,Or
3,71,Lutécium,Lu,174.97,922,Spirale,Stabilisateur,Protection,Argent
3,72,Hafnium,Hf,178.49,929,Cube,Catalyseur,Ancrage,Violet
3,73,Tantale,Ta,180.95,936,Sphère,Émetteur,Origine,Blanc
3,74,Tungstène,W,183.84,943,Double sphère,Isolant,Stabilité,Bleu
3,75,Rhénium,Re,186.21,950,Onde spiralée,Amplificateur,Transmission,Rouge
3,76,Osmium,Os,190.23,957,Tétrahédrique,Modulateur,Formation,Vert
3,77,Iridium,Ir,192.22,964,Pyramide,Activateur,Base du vivant,Jaune
3,78,Platine,Pt,195.08,971,Hexagone,Diffuseur,Respiration,Or
4,79,Or,Au,196.97,978,Spirale,Stabilisateur,Protection,Argent
4,80,Mercure,Hg,200.59,985,Cube,Catalyseur,Ancrage,Violet
4,81,Thallium,Tl,204.38,992,Sphère,Émetteur,Origine,Blanc
4,82,Plomb,Pb,207.2,999,Double sphère,Isolant,Stabilité,Bleu
4,83,Bismuth,Bi,208.98,1006,Onde spiralée,Amplificateur,Transmission,Rouge
4,84,Polonium,Po,209.0,1013,Tétrahédrique,Modulateur,Formation,Vert
4,85,Astate,At,210.0,1020,Pyramide,Activateur,Base du vivant,Jaune
4,86,Radon,Rn,222.0,1027,Hexagone,Diffuseur,Respiration,Or
4,87,Francium,Fr,223.0,1034,Spirale,Stabilisateur,Protection,Argent
4,88,Radium,Ra,226.0,1041,Cube,Catalyseur,Ancrage,Violet
4,89,Actinium,Ac,227.0,1048,Sphère,Émetteur,Origine,Blanc
4,90,Thorium,Th,232.04,1055,Double sphère,Isolant,Stabilité,Bleu
4,91,Protactinium,Pa,231.04,1062,Onde spiralée,Amplificateur,Transmission,Rouge
4,92,Uranium,U,238.03,1069,Tétrahédrique,Modulateur,Formation,Vert
4,93,Neptunium,Np,237.0,1076,Pyramide,Activateur,Base du vivant,Jaune
4,94,Plutonium,Pu,244.0,1083,Hexagone,Diffuseur,Respiration,Or
4,95,Américium,Am,243.0,1090,Spirale,Stabilisateur,Protection,Argent
4,96,Curium,Cm,247.0,1097,Cube,Catalyseur,Ancrage,Violet
4,97,Berkélium,Bk,247.0,1104,Sphère,Émetteur,Origine,Blanc
4,98,Californium,Cf,251.0,1111,Double sphère,Isolant,Stabilité,Bleu
4,99,Einsteinium,Es,252.0,1118,Onde spiralée,Amplificateur,Transmission,Rouge
4,100,Fermium,Fm,257.0,1125,Tétrahédrique,Modulateur,Formation,Vert
4,101,Mendélévium,Md,258.0,1132,Pyramide,Activateur,Base du vivant,Jaune
4,102,Nobélium,No,259.0,1139,Hexagone,Diffuseur,Respiration,Or
4,103,Lawrencium,Lr,266.0,1146,Spirale,Stabilisateur,Protection,Argent
4,104,Rutherfordium,Rf,267.0,1153,Cube,Catalyseur,Ancrage,Violet
5,105,Dubnium,Db,268.0,1160,Sphère,Émetteur,Origine,Blanc
5,106,Seaborgium,Sg,269.0,1167,Double sphère,Isolant,Stabilité,Bleu
5,107,Bohrium,Bh,270.0,1174,Onde spiralée,Amplificateur,Transmission,Rouge
5,108,Hassium,Hs,277.0,1181,Tétrahédrique,Modulateur,Formation,Vert
5,109,Meitnérium,Mt,278.0,1188,Pyramide,Activateur,Base du vivant,Jaune
5,110,Darmstadtium,Ds,281.0,1195,Hexagone,Diffuseur,Respiration,Or
5,111,Roentgénium,Rg,282.0,1202,Spirale,Stabilisateur,Protection,Argent
5,112,Copernicium,Cn,285.0,1209,Cube,Catalyseur,Ancrage,Violet
5,113,Nihonium,Nh,286.0,1216,Sphère,Émetteur,Origine,Blanc
5,114,Flérovium,Fl,289.0,1223,Double sphère,Isolant,Stabilité,Bleu
5,115,Moscovium,Mc,290.0,1230,Onde spiralée,Amplificateur,Transmission,Rouge
5,116,Livermorium,Lv,293.0,1237,Tétrahédrique,Modulateur,Formation,Vert
5,117,Tennessine,Ts,294.0,1244,Pyramide,Activateur,Base du vivant,Jaune
5,118,Oganesson,Og,294.0,1251,Hexagone,Diffuseur,Respiration,Or
