symA,symB,S_cos,S_dot,S_wdot,same_group,same_period
H,Pb,-3.909159891966e-02,-3.658948208815e-01,1.397915606583e+02,0,0
H,Bi,-7.353627900551e-02,-3.492287274329e+00,1.179344788560e+02,0,0
H,Po,-2.764589996675e-01,-3.346788324314e+00,1.653610060946e+01,0,0
H,At,-1.401255590550e-01,-6.065004604226e+00,-4.607673133531e+02,0,0
H,Rn,8.404965339813e-01,1.249600674779e+01,3.596528266245e+02,0,0
H,Fr,-1.106566220776e-01,-5.733507506826e+00,-1.018054318033e+02,1,0
H,Ra,-2.896864825065e-01,-3.362553801346e+00,1.580331021298e+01,0,0
H,Ac,-5.649831949389e-01,-8.721987130495e+00,-1.472516767528e+02,0,0
H,Th,-1.348978581258e-01,-5.447936970694e+00,-1.887965335510e+02,0,0
H,Pa,-7.553189458658e-03,-1.744549506399e-01,-2.715966890365e+02,0,0
H,U,3.245334769202e-02,7.511311547932e-01,-2.256251795192e+02,0,0
H,Np,9.074806746188e-03,2.096647744452e-01,-2.746444254089e+02,0,0
H,Pu,-3.627989015703e-03,-8.382657415303e-02,-2.725797587454e+02,0,0
H,Am,-6.750223259505e-02,-1.626967196492e+00,-3.914128475005e+02,0,0
H,Cm,-5.767714546156e-04,-1.339011332201e-02,-2.598235888412e+02,0,0
H,Bk,2.657522615826e-02,6.143676089312e-01,-2.361772706126e+02,0,0
H,Cf,-2.164386566767e-02,-5.128078053916e-01,-3.381253798375e+02,0,0
H,Es,-4.160214289837e-02,-1.052952463297e+00,-4.032196247438e+02,0,0
H,Fm,-6.822166972902e-03,-2.449573831703e-01,-1.888816519099e+02,0,0
H,Md,-1.718063345359e-03,-6.170431496284e-02,-1.831997215783e+02,0,0
H,No,7.892946763702e-04,2.835147855637e-02,-1.804074586724e+02,0,0
H,Lr,-9.691144787044e-02,-3.489845640947e+00,-2.894924039980e+02,0,0
H,Rf,-3.469378413059e-02,-1.244995555394e+00,-2.198887574345e+02,0,0
H,Db,1.212043129426e-02,4.356968701736e-01,-1.677773392493e+02,0,0
H,Sg,6.986994251807e-02,2.530017649700e+00,-1.028409926011e+02,0,0
H,Bh,6.271653156761e-02,2.268227552259e+00,-1.109580359321e+02,0,0
H,Hs,5.554080359983e-02,2.006437454818e+00,-1.190750792632e+02,0,0
He,Li,3.135348413895e-01,4.569155000603e+01,3.428255990069e+02,0,0
He,Be,3.784863618037e-01,7.321567038277e+01,9.043396623266e+02,0,0
He,B,2.420603535031e-01,4.873212084600e+01,4.335471248994e+02,0,0
He,C,6.334210466319e-02,1.525397895643e+01,7.655840590658e+02,0,0
He,N,8.065520209488e-01,4.345395075573e+01,1.216852515035e+03,0,0
He,O,7.056066382448e-01,4.805415716009e+01,1.308254089067e+03,0,0
He,F,3.910493148479e-01,4.449870439946e+01,1.352397077337e+03,0,0
He,Ne,9.360165074495e-01,1.163949124664e+02,2.952075716490e+03,1,0
He,Na,5.826357499571e-01,9.129576390911e+01,8.322411901789e+02,0,0
He,Mg,4.255623541483e-01,3.548749609280e+01,5.363514937758e+02,0,0
He,Al,-4.422720007328e-01,-1.188379028095e+01,-1.284882443960e+02,0,0
He,Si,1.682234455528e-01,5.124778039605e+00,3.823311409706e+02,0,0
He,P,4.859350309386e-01,1.305803078532e+01,5.254963923629e+02,0,0
He,S,4.325953958454e-01,1.607554723376e+01,6.395894695750e+02,0,0
He,Cl,5.759207749835e-01,2.683057822233e+01,9.215499867414e+02,0,0
He,Ar,8.995825600004e-01,8.750555431201e+01,2.052595975714e+03,1,0
He,K,1.386974215244e-02,2.824230524260e+00,-4.788917252830e+01,0,0
He,Ca,4.746384406951e-01,2.233683782796e+01,5.247420815914e+02,0,0
He,Sc,-3.046753916682e-01,-9.964642956291e+00,-2.242363313956e+01,0,0
He,Ti,-2.592539285339e-01,-1.179966987473e+01,-4.391394751523e+01,0,0
He,V,-3.150464466153e-01,-1.411074569928e+01,-9.863842739045e+01,0,0
He,Cr,1.710921728143e-01,8.531723504521e+00,2.957720006004e+02,0,0
He,Mn,2.814778376518e-01,1.223868385700e+01,2.700423798680e+02,0,0
He,Fe,1.148064501178e-01,1.000120420023e+01,4.991897601602e+02,0,0
He,Co,-6.542851172836e-01,-4.792057232062e+01,-1.452431925800e+03,0,0
He,Ni,-5.468387728792e-01,-1.621017968682e+01,-2.445870715528e+02,0,0
He,Cu,3.695733126487e-01,9.555436955830e+00,3.733147491923e+02,0,0
He,Zn,8.062606637274e-01,3.189259583183e+01,7.711795502881e+02,0,0
He,Ga,-2.492414023417e-01,-6.079133059758e+00,-7.442352942861e+01,0,0
He,Ge,2.182271555148e-01,7.834019909896e+00,4.548241680217e+02,0,0
He,As,-1.612967894864e-01,-4.000058249307e+00,4.079226559094e+01,0,0
He,Se,-4.951645106453e-02,-1.413124537346e+00,2.310831758260e+02,0,0
He,Br,3.016045632562e-01,1.385190489552e+01,6.301249769596e+02,0,0
He,Kr,8.103393552037e-01,7.980307891654e+01,1.778576063392e+03,1,0
He,Rb,-5.224497212375e-01,-1.636288712377e+01,-2.976160619539e+02,0,0
He,Sr,-2.576159758041e-02,-7.375618421844e-01,5.560269457450e+01,0,0
He,Y,-1.535050264801e-01,-3.226341754471e+01,-5.121484116472e+02,0,0
He,Zr,-7.265935468313e-01,-2.902820677911e+01,-6.517536298664e+02,0,0
He,Nb,-6.505520467828e-01,-4.772640436294e+01,-1.448575584436e+03,0,0
He,Mo,-5.667141861721e-02,-1.288874562343e+01,-1.966421291734e+02,0,0
He,Tc,-6.298189764860e-01,-2.154569709021e+01,-4.886237233514e+02,0,0
He,Ru,-6.342547964090e-01,-2.239281491270e+01,-4.614428187734e+02,0,0
He,Rh,-7.280559396810e-01,-2.777053027770e+01,-5.989952601745e+02,0,0
He,Pd,-6.534984653210e-01,-4.799939622505e+01,-1.454262097615e+03,0,0
He,Ag,4.017627773017e-02,1.048997264852e+00,1.533810402130e+02,0,0
He,Cd,2.739487545492e-01,7.013395971853e+00,3.246672335522e+02,0,0
He,In,-6.365630934299e-01,-1.994556291922e+01,-3.240502638942e+02,0,0
He,Sn,-3.715454883112e-01,-9.272847897467e+00,-2.575902014036e+01,0,0
He,Sb,-2.524316760111e-01,-6.813553131763e+00,-1.627478491214e+01,0,0
He,Te,-2.555520443441e-01,-6.892206133540e+00,6.541795543137e+01,0,0
He,I,3.472164257126e-01,1.006646835947e+01,4.856143772756e+02,0,0
He,Xe,9.305497295472e-01,5.795468095790e+01,1.405192075961e+03,1,0
He,Cs,-6.299892831250e-01,-2.030673411318e+01,-4.050737878066e+02,0,0
He,Ba,-2.209896884057e-01,-9.776619830222e+00,-1.307782726134e+02,0,0
He,La,-6.742746072038e-01,-2.532871283872e+01,-5.388225984815e+02,0,0
He,Ce,-3.077406810630e-01,-1.779520415526e+01,-1.632708627666e+02,0,0
He,Pr,-6.597006527120e-01,-2.899142718751e+01,-6.318464182505e+02,0,0
He,Nd,-3.884730930942e-01,-1.887283586568e+01,-2.965592143854e+02,0,0
He,Pm,-7.283742411585e-01,-3.114258162403e+01,-7.307991616139e+02,0,0
He,Sm,-5.982546293148e-01,-2.543032538926e+01,-4.983173827466e+02,0,0
He,Eu,1.005597639979e-02,4.639722740168e-01,-3.061791753584e+01,0,0
He,Gd,-4.586993737129e-01,-1.965661998147e+01,-3.055228245587e+02,0,0
He,Tb,-5.356041980761e-01,-2.442011765850e+01,-4.274043680534e+02,0,0
He,Dy,-1.680025524528e-01,-8.245612650013e+00,-1.278908802155e+02,0,0
He,Ho,-7.073723526881e-01,-2.811829178476e+01,-6.649192082004e+02,0,0
He,Er,-1.717815794437e-01,-8.167102356435e+00,-1.441273031284e+02,0,0
He,Tm,-6.475419806060e-02,-3.189631890587e+00,-4.167383782425e+01,0,0
He,Yb,-3.140529089892e-01,-8.995135491229e+00,-1.878356623131e+02,0,0
He,Lu,-6.625539801731e-01,-2.370573540960e+01,-4.864085296108e+02,0,0
He,Hf,-1.957098382391e-01,-1.654894653166e+01,-2.360177351863e+02,0,0
He,Ta,-6.419265855003e-01,-2.319876412848e+01,-5.323855080511e+02,0,0
He,W,-9.014787823462e-02,-7.634234804104e+00,1.734737091282e+01,0,0
He,Re,-4.008310279092e-01,-1.234409851244e+01,-2.627546126489e+02,0,0
He,Os,-5.943463717374e-01,-1.990331443417e+01,-4.012386621766e+02,0,0
He,Ir,-5.999277766869e-01,-1.908771109703e+01,-3.811579994106e+02,0,0
He,Pt,-4.929064874061e-01,-1.336098590126e+01,-1.856321574877e+02,0,0
He,Au,-4.469795436028e-01,-1.315468151990e+01,-2.383954644429e+02,0,0
He,Hg,7.936785287513e-01,2.904950942834e+01,8.283083560804e+02,0,0
He,Tl,-6.233979392062e-01,-1.924583192403e+01,-3.561458282990e+02,0,0
He,Pb,-3.948502130752e-01,-1.037263357297e+01,-4.034353314171e+01,0,0
He,Bi,-1.132322720166e-01,-1.509254098826e+01,-1.436606855567e+02,0,0
He,Po,-5.655372011284e-01,-1.921509440784e+01,-3.255369437728e+02,0,0
He,At,-1.732802607702e-01,-2.104973830184e+01,-8.368201888833e+02,0,0
He,Rn,4.826679669363e-01,2.014037871873e+01,5.786369794170e+02,1,0
He,Fr,-1.685010759283e-01,-2.450357698611e+01,-5.444805032307e+02,0,0
He,Ra,-6.993187378523e-01,-2.278242807926e+01,-4.600962183266e+02,0,0
He,Ac,-8.290199043073e-01,-3.591936915350e+01,-8.422602778313e+02,0,0
He,Th,5.143998444934e-03,5.830578950069e-01,1.411414038362e+02,0,0
He,Pa,-2.438356413776e-01,-1.580643529898e+01,-6.610088858191e+02,0,0
He,U,-2.095599889653e-01,-1.361283157890e+01,-5.799218416080e+02,0,0
He,Np,-2.144352607166e-01,-1.390490793334e+01,-6.205809321941e+02,0,0
He,Pu,-2.319453593811e-01,-1.504129653898e+01,-6.434149656042e+02,0,0
He,Am,-2.486060954482e-01,-1.681729969509e+01,-7.678573552788e+02,0,0
He,Cm,-2.306742036333e-01,-1.503015141141e+01,-6.324956666379e+02,0,0
He,Bk,-2.121854948150e-01,-1.376736620727e+01,-5.900755589935e+02,0,0
He,Cf,-2.202352532058e-01,-1.464503677393e+01,-6.836941848165e+02,0,0
He,Es,-2.128452755655e-01,-1.511962116639e+01,-7.463634903553e+02,0,0
He,Fm,-1.420585044710e-01,-1.431591987657e+01,-5.315878238011e+02,0,0
He,Md,-1.370300632017e-01,-1.381261962658e+01,-5.166170607543e+02,0,0
He,No,-1.345576841853e-01,-1.356528350373e+01,-5.092600000570e+02,0,0
He,Lr,-2.298240787854e-01,-2.322792930318e+01,-7.966772637530e+02,0,0
He,Rf,-1.694114405646e-01,-1.706250124080e+01,-6.132854164285e+02,0,0
He,Db,-1.233666316292e-01,-1.244651894804e+01,-4.759821324842e+02,0,0
He,Sg,-6.587220381611e-02,-6.694516091003e+00,-3.048876976625e+02,0,0
He,Bh,-7.303580743362e-02,-7.413516448132e+00,-3.262745020152e+02,0,0
He,Hs,-8.020984382151e-02,-8.132516805261e+00,-3.476613063679e+02,0,0
Li,Be,7.348662383866e-01,1.109422000685e+02,7.232357720092e+02,0,1
Li,B,5.598279469823e-01,8.795912384407e+01,6.239451614654e+02,0,1
Li,C,2.351389953483e-02,4.419264363710e+00,1.845165370439e+02,0,1
Li,N,3.677524583642e-01,1.546276441562e+01,1.890955147951e+02,0,1
Li,O,3.746835506121e-01,1.991441732983e+01,2.149424419440e+02,0,1
Li,F,2.497051434864e-01,2.217573360363e+01,1.829646590208e+02,0,1
Li,Ne,3.680004153426e-01,3.571358678329e+01,3.454555077295e+02,0,1
Li,Na,7.258334553837e-01,8.876160576840e+01,7.718769859361e+02,1,0
Li,Mg,7.391876732058e-01,4.810625415736e+01,3.955516405467e+02,0,0
Li,Al,7.624288736875e-02,1.598819875236e+00,1.757980040986e+02,0,0
Li,Si,-5.602918870976e-02,-1.332102185622e+00,7.070452397344e+01,0,0
Li,P,1.640924888544e-01,3.441302519382e+00,1.653762105535e+02,0,0
Li,S,2.709221372937e-01,7.857113675523e+00,2.090736885452e+02,0,0
Li,Cl,3.404247549441e-01,1.237721945289e+01,2.101450196516e+02,0,0
Li,Ar,2.337507618803e-01,1.774525720412e+01,2.008414175415e+02,0,0
Li,K,1.761906395245e-01,2.799943434493e+01,2.993963784282e+02,1,0
Li,Ca,1.548333877753e-01,5.686670558560e+00,6.678700203598e+01,0,0
Li,Sc,-2.238449313434e-01,-5.713553512613e+00,7.010290365379e+01,0,0
Li,Ti,-2.243714959344e-01,-7.969789757609e+00,6.003823194009e+01,0,0
Li,V,-2.578773841060e-01,-9.014119395016e+00,4.581367031715e+01,0,0
Li,Cr,3.627028740890e-02,1.411537102511e+00,5.666350687527e+01,0,0
Li,Mn,-1.675818200100e-01,-5.686592181837e+00,-4.078110829903e+01,0,0
Li,Fe,-8.421329456057e-02,-5.725340687488e+00,2.954710484529e+01,0,0
Li,Co,-3.767778012091e-01,-2.153649042570e+01,-2.282451620585e+02,0,0
Li,Ni,-2.653369683240e-01,-6.138481651734e+00,-8.541524793287e+00,0,0
Li,Cu,7.798659607747e-02,1.573637093329e+00,1.549277582122e+02,0,0
Li,Zn,6.103619404468e-01,1.884241275169e+01,2.636564205284e+02,0,0
Li,Ga,3.360155095240e-01,6.396103125177e+00,1.418500509045e+02,0,0
Li,Ge,-1.029109923801e-01,-2.883183711162e+00,6.026980807979e+01,0,0
Li,As,-1.861104663562e-02,-3.602019506376e-01,7.184076192189e+01,0,0
Li,Se,3.201500878667e-02,7.130487500153e-01,1.435160577307e+02,0,0
Li,Br,1.523791588116e-01,5.461750225350e+00,1.813066633402e+02,0,0
Li,Kr,4.563533824512e-01,3.507427156216e+01,2.515763709803e+02,0,0
Li,Rb,-3.115370359929e-01,-7.614822541458e+00,6.654929517135e+01,1,0
Li,Sr,-2.809414445907e-01,-6.277346911707e+00,7.123696042895e+01,0,0
Li,Y,-8.606106274046e-02,-1.411656860233e+01,2.645892814044e+01,0,0
Li,Zr,-3.655579237868e-01,-1.139776095274e+01,-3.794768253084e+01,0,0
Li,Nb,-3.750977959585e-01,-2.147612146838e+01,-2.251773052642e+02,0,0
Li,Mo,-6.993476600465e-02,-1.241293167246e+01,-6.880801816758e+01,0,0
Li,Tc,-3.368463295369e-01,-8.993138831690e+00,-2.728859847783e+01,0,0
Li,Ru,-3.246109625812e-01,-8.944226390603e+00,-3.032506692002e+01,0,0
Li,Rh,-2.889836007441e-01,-8.602551711549e+00,-1.333241794559e+01,0,0
Li,Pd,-3.750688459693e-01,-2.149992105145e+01,-2.281033099188e+02,0,0
Li,Ag,1.439471389151e-01,2.933204658163e+00,1.789586062454e+02,0,0
Li,Cd,3.364487479684e-01,6.722218367970e+00,1.792631658219e+02,0,0
Li,In,-2.738705117186e-01,-6.697069192885e+00,9.214585030496e+01,0,0
Li,Sn,-1.660649425923e-01,-3.234549295121e+00,1.009263731174e+02,0,0
Li,Sb,-1.344848083778e-01,-2.832942077939e+00,7.621934333199e+01,0,0
Li,Te,-4.267033587713e-02,-8.981308830875e-01,1.418864775154e+02,0,0
Li,I,1.662191016265e-01,3.760905940393e+00,1.930549114705e+02,0,0
Li,Xe,3.387028928368e-01,1.646275475426e+01,2.318280852171e+02,0,0
Li,Cs,-3.561325119828e-01,-8.958869578335e+00,8.545400046920e+01,1,0
Li,Ba,-2.948473182174e-01,-1.018001857974e+01,5.640734926498e+01,0,0
Li,La,-4.053209728399e-01,-1.188256127196e+01,-5.297305625494e+01,0,0
Li,Ce,-3.541942576884e-01,-1.598432313959e+01,-1.618377950836e+02,0,0
Li,Pr,-4.616087573603e-01,-1.583183997249e+01,-1.003827202236e+02,0,0
Li,Nd,-4.091651931870e-01,-1.551349221082e+01,-1.317687977294e+02,0,0
Li,Pm,-4.462243119405e-01,-1.488976802745e+01,-1.046995541641e+02,0,0
Li,Sm,-4.181098469410e-01,-1.387046163727e+01,-8.841695566214e+01,0,0
Li,Eu,-3.108370068381e-01,-1.119270795723e+01,-7.381676241959e+01,0,0
Li,Gd,-3.695874387090e-01,-1.236040119051e+01,-9.031546315072e+01,0,0
Li,Tb,-4.114266012165e-01,-1.463965419195e+01,-1.072454465662e+02,0,0
Li,Dy,-3.400552297163e-01,-1.302540327017e+01,-1.080287615633e+02,0,0
Li,Ho,-4.402922819429e-01,-1.365892734051e+01,-5.398909658280e+01,0,0
Li,Er,-3.397168278022e-01,-1.260500834592e+01,-9.872817196739e+01,0,0
Li,Tm,-2.771467069887e-01,-1.065410637819e+01,-8.937405661742e+01,0,0
Li,Yb,-3.454201933119e-01,-7.721244095546e+00,-2.890873598971e+01,0,0
Li,Lu,-3.608911131207e-01,-1.007727299226e+01,-2.165375908108e+01,0,0
Li,Hf,-1.619258378307e-01,-1.068583633294e+01,4.430681177855e+01,0,0
Li,Ta,-3.417047147550e-01,-9.637516363166e+00,-3.305182563298e+01,0,0
Li,W,-1.296270832807e-01,-8.567229944294e+00,3.448995622957e+01,0,0
Li,Re,-3.180958587494e-01,-7.645233112563e+00,-2.235731654761e+01,0,0
Li,Os,-2.936454559996e-01,-7.674387842639e+00,-3.140854117339e+01,0,0
Li,Ir,-2.598321995986e-01,-6.451824169845e+00,-2.435648193279e+01,0,0
Li,Pt,-1.640259364234e-01,-3.469933628383e+00,4.100121731689e+01,0,0
Li,Au,-1.004986381775e-01,-2.308274945492e+00,4.088862281830e+01,0,0
Li,Hg,2.579301132567e-01,7.367682298724e+00,2.034305523606e+02,0,0
Li,Tl,-2.572998159663e-01,-6.199340240171e+00,5.873364623010e+01,0,0
Li,Pb,-1.834611160842e-01,-3.761277370741e+00,1.355506757478e+02,0,0
Li,Bi,-2.497806006059e-02,-2.598277415741e+00,1.544205737470e+02,0,0
Li,Po,-1.917049851963e-01,-5.083343078570e+00,2.416525900676e+01,0,0
Li,At,-1.103072320584e-01,-1.045770208086e+01,-5.233349345855e+02,0,0
Li,Rn,3.551838789343e-02,1.156663608844e+00,8.391166186390e+01,0,0
Li,Fr,-1.285540121951e-01,-1.458972527706e+01,-2.669494355568e+01,1,0
Li,Ra,-3.807692260968e-01,-9.681025290055e+00,8.364960488723e+01,0,0
Li,Ac,-3.652516002265e-01,-1.235067064552e+01,2.815861595065e+01,0,0
Li,Th,-1.405901332054e-01,-1.243656272576e+01,-5.939207107026e+00,0,0
Li,Pa,-2.430519399200e-01,-1.229618853727e+01,-3.981172795818e+02,0,0
Li,U,-2.241391900833e-01,-1.136298865906e+01,-3.676834495259e+02,0,0
Li,Np,-2.324758106648e-01,-1.176479485626e+01,-4.164748576018e+02,0,0
Li,Pu,-2.358613131775e-01,-1.193688385585e+01,-3.988510979065e+02,0,0
Li,Am,-2.529869951477e-01,-1.335602914845e+01,-5.113786833135e+02,0,0
Li,Cm,-2.308824649389e-01,-1.174059066116e+01,-3.804611951028e+02,0,0
Li,Bk,-2.257118097862e-01,-1.142941826728e+01,-3.765217239545e+02,0,0
Li,Cf,-2.393767500201e-01,-1.242282208150e+01,-4.804224166695e+02,0,0
Li,Es,-2.444614585804e-01,-1.355257951652e+01,-5.663624209235e+02,0,0
Li,Fm,-1.868824065665e-01,-1.469789394412e+01,-4.075696479230e+02,0,0
Li,Md,-1.847323109664e-01,-1.453241287617e+01,-4.069762202542e+02,0,0
Li,No,-1.836731132593e-01,-1.445109075136e+01,-4.066845929426e+02,0,0
Li,Lr,-2.234887374922e-01,-1.762809085441e+01,-4.180775564306e+02,0,0
Li,Rf,-1.984798174996e-01,-1.560094777206e+01,-4.108080674873e+02,0,0
Li,Db,-1.788619742134e-01,-1.408324997746e+01,-4.053654880102e+02,0,0
Li,Sg,-1.537179672109e-01,-1.219203777236e+01,-3.985834575091e+02,0,0
Li,Bh,-1.568893647260e-01,-1.242843929800e+01,-3.994312113217e+02,0,0
Li,Hs,-1.600544548942e-01,-1.266484082363e+01,-4.002789651344e+02,0,0
Be,B,7.938052810233e-01,1.655556586940e+02,7.968702191335e+02,0,1
Be,C,1.891878475606e-02,4.719785762888e+00,2.687100864359e+02,0,1
Be,N,3.843386545077e-01,2.145108905779e+01,4.066256389309e+02,0,1
Be,O,3.570740518777e-01,2.519213613767e+01,4.258584217976e+02,0,1
Be,F,2.671164283855e-01,3.148870734955e+01,4.811898341175e+02,0,1
Be,Ne,4.156349050747e-01,5.354277784201e+01,7.815117180569e+02,0,1
Be,Na,6.692445246795e-01,1.086367390797e+02,8.093429037126e+02,0,0
Be,Mg,9.809857675290e-01,8.474483880457e+01,4.760085293936e+02,1,0
Be,Al,-6.263508767964e-02,-1.743498664531e+00,1.147127576967e+02,0,0
Be,Si,-5.627119592866e-02,-1.775877799192e+00,1.143251040939e+02,0,0
Be,P,1.069443248475e-01,2.977115056983e+00,2.313503725006e+02,0,0
Be,S,2.057105788128e-01,7.919155949553e+00,2.753416175108e+02,0,0
Be,Cl,3.000675734537e-01,1.448187351094e+01,3.553129268195e+02,0,0
Be,Ar,2.662321462022e-01,2.682832028920e+01,4.808061309772e+02,0,0
Be,K,1.112800317756e-01,2.347401580195e+01,2.062588388974e+02,0,0
Be,Ca,2.771931881022e-01,1.351386986271e+01,9.460228716906e+01,1,0
