iter,mean_top10_anova_block,mean_top10_anova_period,periodicity_strength
32,3.344383842679e+00,1.427146283927e+00,1.870416283284e+44
33,1.595666482644e+00,1.421090988449e+00,3.516535790400e+44
34,1.312129551571e+00,1.383614003148e+00,3.211918528668e+44
35,1.894411474327e+00,1.812114695896e+00,3.392068556061e+44
36,1.998628336223e+00,1.292377959976e+00,3.496332111729e+44
37,1.597051902967e+00,1.521582257148e+00,3.516507217112e+44
38,1.926343761908e+00,1.185839860627e+00,3.516501067158e+44
39,1.916945413055e+00,5.541704122075e+00,3.496367977620e+44
40,2.469039396732e+00,2.059207552441e+00,3.516501869236e+44
41,2.050901842638e+00,1.157921166350e+00,1.184327689579e+44
42,1.565300833650e+00,3.282327756879e+00,3.496329581965e+44
43,1.833446388700e+00,1.656665763533e+00,3.496336812932e+44
44,1.212298301560e+00,1.289778641283e+00,3.393962285071e+44
45,2.417943394971e+00,1.620259494554e+00,3.408338833164e+44
46,2.176817082889e+00,1.743516801699e+00,3.516504854084e+44
47,1.425970513255e+00,2.065126002819e+00,3.477390988103e+44
48,1.714018354612e+00,2.020765253144e+00,1.471553049428e+44
49,2.915998934351e+00,1.711817740465e+00,3.471899309512e+44
50,1.789687018674e+00,1.362385324777e+00,3.496322318599e+44
51,1.811445660542e+00,1.113668420559e+00,3.410336611529e+44
52,1.651022389324e+00,1.314802169951e+00,3.516510893158e+44
53,1.639940212481e+00,1.687997916162e+00,3.274639269653e+44
54,1.658270736031e+00,1.434612327375e+00,3.266212125095e+44
55,1.453775020846e+00,1.599760915377e+00,3.496360763919e+44
56,1.793550497760e+00,1.230300795816e+00,2.633963188918e+44
57,1.520016169786e+00,1.339418480781e+00,3.496336121427e+44
58,2.139214018126e+00,2.638555242786e+00,3.504675801937e+44
59,2.492230128477e+00,1.573638635178e+00,3.516520626884e+44
60,1.985796909984e+00,1.612509830005e+00,3.391901777726e+44
61,2.597656608582e+00,2.312819245656e+00,3.398598357240e+44
62,1.834222484141e+00,1.283467076034e+00,3.516499301723e+44
63,1.709118585187e+00,1.970675356672e+00,3.516518364847e+44
64,1.636426662982e+00,4.785451785530e+00,1.469965198901e+44
65,2.119433461203e+00,1.520126304449e+00,3.496337205621e+44
66,1.895833729210e+00,1.450149341605e+00,3.472901573833e+44
67,2.447650230448e+00,1.855977889676e+00,3.496336729420e+44
68,1.955038571475e+00,2.402119063798e+00,3.496348204120e+44
69,1.388818702901e+00,1.304179193409e+00,3.479101877759e+44
70,1.758717587093e+00,1.325528384513e+00,3.282978189615e+44
71,1.290550002761e+00,2.173918594500e+00,3.516503266280e+44
72,1.175906439346e+00,1.695241998970e+00,3.516504957417e+44
73,2.241267789682e+00,1.515617979539e+00,3.496343021215e+44
74,2.876712477101e+00,1.668319440328e+00,2.647012769300e+44
75,1.892220896533e+00,1.806527997526e+00,3.516488488136e+44
76,1.597081236743e+00,1.339466912986e+00,3.515147276490e+44
77,1.201001613561e+00,2.121999558234e+00,3.408340511870e+44
78,1.771113770593e+00,1.908244710813e+00,1.464747168798e+44
79,1.161875082785e+00,1.727085192775e+00,3.212577196455e+44
80,1.694338537325e+00,1.389831839387e+00,3.479106023394e+44
81,1.499712215939e+00,1.907109119254e+00,3.516516835284e+44
82,1.945286766955e+00,5.463017184955e+00,3.496338822353e+44
83,2.220594086592e+00,1.150045116123e+00,3.516506374522e+44
84,3.027750743059e+00,1.887100801470e+00,3.516517713546e+44
85,1.274349210830e+00,2.327955229641e+00,3.516510063149e+44
86,1.560880120753e+00,1.467912163211e+00,2.357433330578e+44
87,1.406798142994e+00,1.420952730093e+00,3.516489585671e+44
88,3.165000169923e+00,1.812537276308e+00,3.410329702542e+44
89,9.969503951258e-01,1.209434530552e+00,3.496340392487e+44
90,3.513922413287e+00,1.350469438260e+00,3.516520369396e+44
91,1.559677410449e+00,1.620766007225e+00,3.516500290845e+44
92,1.703865746818e+00,1.728610913582e+00,3.516500489463e+44
93,2.301960541046e+00,1.946948194351e+00,3.496316847653e+44
94,5.497285246520e+00,1.812988833302e+00,3.516518536552e+44
95,1.100854595536e+00,1.784157682804e+00,3.496351610910e+44
96,2.339946499989e+00,2.166529231592e+00,3.516524567953e+44
97,2.542069456227e+00,4.210257439883e+00,2.878746385064e+44
98,1.611707735158e+00,1.599523228590e+00,3.473036127973e+44
99,1.856723647271e+00,1.829166988070e+00,2.893618617039e+44
100,1.995222320782e+00,1.512335409360e+00,3.516527423526e+44
101,2.504454482557e+00,2.663497329598e+00,3.516525541582e+44
102,2.258282422763e+00,1.554351364547e+00,2.365055346325e+44
103,1.565892526399e+00,2.836649098094e+00,3.496329277957e+44
104,2.147069020067e+00,1.148226296197e+00,3.496341250109e+44
105,2.366585284906e+00,4.429348553020e+00,3.283722727171e+44
106,1.199356097844e+00,1.337465038093e+00,2.888785626913e+44
107,1.685747112887e+00,1.134992610958e+00,3.395567549486e+44
108,1.785354352710e+00,1.319321351671e+00,2.370596075502e+44
109,1.656293729386e+00,2.105565437263e+00,3.516500944334e+44
110,1.996240715112e+00,2.800547202323e+00,2.640717708308e+44
111,1.802949172800e+00,1.280309630330e+00,3.496338557086e+44
112,1.988698823638e+00,1.379581986613e+00,2.895564125127e+44
113,1.737183068803e+00,1.688701510204e+00,1.764775352810e+44
114,1.826058901298e+00,9.764252527813e-01,3.498199951890e+44
115,1.852450393030e+00,1.903323045852e+00,3.496336498225e+44
116,2.491923132764e+00,1.979313342472e+00,3.405060762675e+44
117,1.799635641816e+00,1.259242537018e+00,3.516516902917e+44
118,2.353217037773e+00,1.529626437334e+00,2.634798113909e+44
119,2.529588554048e+00,2.959216151918e+00,3.516500398728e+44
120,1.390569604241e+00,1.372029364696e+00,3.516513861784e+44
121,1.799823834584e+00,1.245137596024e+00,3.499167022102e+44
122,2.128098597147e+00,1.663930006706e+00,2.895913227315e+44
123,1.417061079859e+00,3.934440641820e+00,3.272922614343e+44
124,2.974162867309e+00,1.500862256638e+00,1.473715117688e+44
125,1.724403315678e+00,2.074732291649e+00,3.516487211573e+44
126,1.885606354127e+00,3.026260815134e+00,3.225703216049e+44
127,1.990885247851e+00,4.880708523019e+00,3.487419190463e+44
128,2.008108471063e+00,1.028936598221e+00,2.894085235460e+44
129,1.799408815263e+00,1.364176105560e+00,3.516533015056e+44
130,2.638703868010e+00,3.877809837463e+00,3.496354494180e+44
131,1.318625431620e+00,1.156062348064e+00,3.496354425310e+44
132,1.265491939095e+00,1.690706658114e+00,2.373453472914e+44
133,1.687784355683e+00,2.246746938783e+00,3.213141651502e+44
134,1.682946345426e+00,2.583075068340e+00,3.516521529396e+44
135,1.909472955488e+00,1.590218265315e+00,3.516521990307e+44
136,1.432836195312e+00,1.457173586784e+00,3.496328229950e+44
137,1.141472105528e+00,1.254966371644e+00,2.363596130339e+44
138,1.186273635679e+00,1.921139222562e+00,3.516497265209e+44
139,2.021584652646e+00,4.956596119849e+00,3.496330598848e+44
140,2.133953687187e+00,2.361865815077e+00,2.644409091389e+44
141,1.374477207818e+00,1.445137677530e+00,3.396525279984e+44
142,1.913849671452e+00,1.482148791996e+00,3.516494532953e+44
143,2.441107254693e+00,1.603008261570e+00,3.516502955840e+44
144,1.246797303217e+00,2.150886865644e+00,2.639708949472e+44
145,2.447169818981e+00,1.476603057025e+00,1.879893310687e+44
146,1.779838481450e+00,2.119635558601e+00,3.275169045839e+44
147,1.502213192803e+00,1.499733040699e+00,3.516524495306e+44
148,1.875283664416e+00,2.055183438196e+00,1.467190695778e+44
149,1.181615701399e+00,1.049075350003e+00,3.516504178686e+44
150,2.055072722780e+00,1.530536216790e+00,2.362222471007e+44
151,1.094413222346e+00,2.635894826059e+00,3.516515185432e+44
152,1.719022137449e+00,1.566653266869e+00,3.393312729846e+44
153,2.431732910437e+00,1.617530280944e+00,3.496337083427e+44
154,1.994373737195e+00,2.069668534044e+00,3.501978182964e+44
155,2.284249243157e+00,1.171760321353e+00,3.496347688202e+44
156,1.402087949822e+00,1.826153827645e+00,3.493463385557e+44
157,2.378738118788e+00,2.800715399303e+00,1.765698282092e+44
158,1.296725393519e+00,2.428919339996e+00,3.516521591410e+44
159,2.265710998532e+00,3.559407018861e+00,3.496352928309e+44
160,2.051872103051e+00,4.349116040664e+00,3.516498440299e+44
161,1.869023421728e+00,1.039273618138e+00,2.369212659951e+44
162,1.276961657890e+00,1.672771751166e+00,3.496339666400e+44
163,1.193576730611e+00,2.132859552368e+00,3.516501468187e+44
164,3.102181710451e+00,1.346639162774e+00,3.516501141389e+44
165,2.326938453987e+00,2.245095212983e+00,2.633964039082e+44
166,1.351854865807e+00,2.361678298502e+00,3.229824158086e+44
167,1.642053948276e+00,5.370433364042e+00,3.496346786356e+44
168,1.910993684060e+00,2.653388302606e+00,3.496360613973e+44
169,2.054548639317e+00,1.536027448555e+00,3.496348026702e+44
170,1.392114681608e+00,1.446515205923e+00,2.638682503446e+44
171,1.280754207410e+00,1.834022200437e+00,3.516515996212e+44
172,1.952652442554e+00,6.793849887057e+00,3.227900678124e+44
173,1.733359632272e+00,1.239129052829e+00,3.398594304669e+44
174,1.776767144373e+00,9.851520640399e-01,1.774496203892e+44
175,1.477139268920e+00,1.670880685144e+00,1.875454808706e+44
176,1.613419560794e+00,2.478264353352e+00,3.516524367348e+44
177,1.145717498794e+00,1.258883938386e+00,3.516503060433e+44
178,1.852858440007e+00,2.484713037915e+00,3.515890285185e+44
179,1.638226292021e+00,2.778498655200e+00,3.496338318525e+44
180,2.134100344891e+00,1.180226551236e+00,3.409159603501e+44
181,9.822022285863e-01,1.216098010647e+00,2.373345949974e+44
182,2.518186615286e+00,1.619392911425e+00,3.516532150648e+44
183,1.504865486372e+00,2.673469504989e+00,1.769405030594e+44
184,2.185175022541e+00,1.187821216078e+00,3.211618195196e+44
185,1.795951693042e+00,3.573922154678e+00,3.220783042658e+44
186,1.737458284554e+00,1.414315223438e+00,3.496343223761e+44
187,1.742392858263e+00,1.752758213666e+00,3.496332679140e+44
188,2.976514681573e+00,1.784436986705e+00,3.516505410234e+44
189,1.840424581100e+00,2.397749186421e+00,2.369192739002e+44
190,2.195667828532e+00,1.385843462926e+00,3.516524070451e+44
191,1.685234707798e+00,8.991839189780e-01,3.496357584084e+44
192,1.540699597152e+00,1.270454298329e+00,2.877789961929e+44
193,1.399365061010e+00,1.522349228844e+00,3.474234700334e+44
194,1.798009432870e+00,1.683685655924e+00,3.516512662635e+44
195,2.345466723406e+00,2.236642624255e+00,3.496354382012e+44
196,2.060105360657e+00,1.592240388672e+00,3.496351791277e+44
197,1.885879735136e+00,1.562459312714e+00,3.268249066825e+44
198,1.365697454218e+00,2.881971612448e+00,3.496344118168e+44
199,1.709645510139e+00,1.281835018524e+00,2.895562089576e+44
200,1.853964763903e+00,1.615186807392e+00,2.879608050220e+44
201,2.280773565048e+00,1.406390161595e+00,3.496356781250e+44
202,3.911215083147e+00,1.847174803628e+00,1.775435344533e+44
203,1.645350263838e+00,1.072611030615e+00,3.516497069200e+44
204,1.669053774211e+00,1.185757729687e+00,1.172919082264e+44
205,1.445591282912e+00,2.242866210736e+00,3.408900333688e+44
206,1.968291582491e+00,2.009295775202e+00,2.894072981085e+44
207,1.290285160664e+00,1.474160039458e+00,2.369427643168e+44
208,1.272615531723e+00,3.733318477408e+00,3.516507946958e+44
209,2.167999077713e+00,1.772082980623e+00,3.516503826625e+44
210,4.505296618486e+00,1.903532563383e+00,2.633962882643e+44
211,1.320179940004e+00,1.537933864828e+00,3.411635222807e+44
212,1.867400108874e+00,2.154995535048e+00,3.410326682868e+44
213,2.053009926823e+00,1.320501655018e+00,3.516492635752e+44
214,1.557278565159e+00,1.419735802955e+00,3.496354879214e+44
215,1.040748420626e+00,3.114981226834e+00,3.516504819808e+44
216,1.660621516284e+00,1.344975325845e+00,3.516508182776e+44
217,3.523491916272e+00,2.364644554015e+00,2.635729770540e+44
218,1.811640070643e+00,2.048241944430e+00,2.358072343235e+44
219,2.621612341779e+00,2.902625011618e+00,3.516504614948e+44
220,2.432839150660e+00,2.297756177196e+00,3.496339154306e+44
221,2.326423982586e+00,1.190015952313e+00,3.516486779818e+44
222,2.447951388732e+00,1.883222972645e+00,3.516503760792e+44
223,1.852739595367e+00,2.145531567711e+00,3.516515561889e+44
224,1.879330585641e+00,1.275716926555e+00,3.488248578618e+44
225,1.598971650989e+00,7.747293745913e-01,2.635706862947e+44
226,1.572015036939e+00,2.622631046534e+00,3.470058577687e+44
227,2.003808024491e+00,2.119529994016e+00,3.496331766639e+44
228,2.579070805335e+00,1.877765990985e+00,1.465991045697e+44
229,1.471135690623e+00,2.287088525907e+00,3.516509288322e+44
230,1.674486480968e+00,1.118745822440e+00,2.889634166977e+44
231,1.532112108037e+00,1.262267976061e+00,3.496358045019e+44
232,3.897420160712e+00,1.855409981643e+00,2.633172208738e+44
233,1.726851264479e+00,1.815390715705e+00,3.229843579273e+44
234,1.816835591912e+00,2.388245238766e+00,1.477285334430e+44
235,1.581354703717e+00,2.495210661752e+00,3.490128999227e+44
236,1.847732764467e+00,1.662717039924e+00,1.778108262288e+44
237,1.959002724341e+00,1.286444582471e+00,3.516495631221e+44
238,1.921230205387e+00,1.788953830278e+00,3.496341446882e+44
239,1.549581185223e+00,1.928399879184e+00,3.501986945309e+44
240,1.225500515364e+00,1.220096057321e+00,2.888065420264e+44
241,9.877982717720e-01,1.138380701197e+00,3.498704615796e+44
242,1.638584676638e+00,1.444798641217e+00,3.395309508024e+44
243,3.097463819167e+00,1.658715930852e+00,3.496350525695e+44
244,1.824847465905e+00,1.156518642278e+00,3.496326289501e+44
245,3.092086196269e+00,1.051628795890e+00,3.496326682857e+44
246,1.809930830854e+00,3.183486386714e+00,3.482760000349e+44
247,1.710198299797e+00,5.624346200608e+00,3.496325976129e+44
248,1.711103572251e+00,2.773774153666e+00,3.211521569615e+44
249,1.647586142456e+00,1.747292483939e+00,3.272924994726e+44
250,3.422313499218e+00,1.277409255016e+00,3.516520569163e+44
251,1.599680645486e+00,1.144519690223e+00,3.516492622984e+44
252,1.845979661242e+00,1.827586763340e+00,3.496320746559e+44
253,1.036073341883e+00,1.406148217822e+00,3.516519069884e+44
254,1.166778118204e+00,1.687090715151e+00,3.504670422962e+44
255,2.002634421841e+00,2.032269178942e+00,2.895922428622e+44
256,6.955126012062e+00,2.879773555231e+00,2.877904100016e+44
257,1.739725843293e+00,1.610718407062e+00,3.516511685547e+44
258,2.011612208800e+00,1.173270736561e+00,1.865700213063e+44
259,1.699590394002e+00,1.944807066307e+00,3.516525473016e+44
260,2.333086122714e+00,1.451357225458e+00,3.496330828326e+44
261,2.731034394171e+00,2.703863699407e+00,3.489227877228e+44
262,1.902656128210e+00,1.793748975286e+00,3.405373045050e+44
263,1.374078415947e+00,1.427238295098e+00,2.647873855083e+44
264,1.919665824014e+00,2.906364757099e+00,3.503927224262e+44
265,1.599865119785e+00,2.111685353269e+00,3.516503872215e+44
266,1.086518581463e+00,1.928082128283e+00,3.516521726630e+44
267,1.826553906164e+00,1.864630802960e+00,2.356998063429e+44
268,1.747880723551e+00,1.475145973160e+00,2.884058265266e+44
269,1.744463995555e+00,1.250426754623e+00,3.516524349640e+44
270,1.663096463003e+00,1.414272854856e+00,3.496344562545e+44
271,1.437887840754e+00,1.215790023586e+00,2.647871219465e+44
272,1.689210341552e+00,1.669190688226e+00,1.471561652202e+44
273,1.523753992517e+00,2.061145759353e+00,1.467803168483e+44
274,1.259890493304e+00,3.075637226287e+00,3.485429436396e+44
275,2.369866132296e+00,1.471694690323e+00,1.477014016493e+44
276,1.314606959950e+00,1.498937627025e+00,3.410344427478e+44
277,4.316431292520e+00,1.995971315190e+00,2.636678368356e+44
278,1.799323661192e+00,1.734805045898e+00,3.392081951992e+44
279,1.925045040120e+00,1.849615125128e+00,2.357929432789e+44
280,1.375161146277e+00,1.455762048667e+00,3.393951101005e+44
281,1.535462746818e+00,1.938732675441e+00,3.403155497600e+44
282,1.525676710894e+00,1.755779984076e+00,3.496336805224e+44
283,2.067338156358e+00,1.503229199187e+00,3.516525539802e+44
284,1.803280306779e+00,1.738711613247e+00,2.357440183730e+44
285,1.140904466110e+00,2.917904381734e+00,3.516503151586e+44
286,1.445058671755e+00,2.056286617775e+00,3.488186420021e+44
287,1.435619005007e+00,1.502742101301e+00,2.888788515231e+44
288,1.375735387584e+00,1.739427551159e+00,3.496359380368e+44
289,1.029110055792e+00,2.064504546712e+00,3.516498026175e+44
290,1.661534269104e+00,2.249028346135e+00,2.647879422996e+44
291,1.895715004685e+00,1.522864509936e+00,3.516503781451e+44
292,1.625358280564e+00,1.175834656249e+00,3.410517464035e+44
293,3.132411055648e+00,1.953750466482e+00,3.487426600799e+44
294,3.653180025449e+00,1.493061353107e+00,3.487231548969e+44
295,2.831790980238e+00,1.797273578568e+00,3.516527202279e+44
296,2.308446001883e+00,1.824969241491e+00,3.516513153933e+44
297,1.610396601891e+00,1.846910987204e+00,3.516501756042e+44
298,9.075404428887e-01,1.048938780575e+00,3.496338108535e+44
299,2.864383377165e+00,4.601418277512e+00,3.496349744778e+44
300,1.668616081634e+00,1.192361880974e+00,2.647889694316e+44
301,2.023289118557e+00,2.108037018731e+00,3.491188221471e+44
302,1.573296333496e+00,2.469708499147e+00,3.496346967632e+44
303,4.317056686431e+00,1.679026173595e+00,3.396517607635e+44
304,2.142366558259e+00,1.943708632909e+00,3.411741009768e+44
305,2.041738645396e+00,2.154989341473e+00,2.363862668012e+44
306,2.021158056472e+00,9.919936118796e-01,1.476768731317e+44
307,1.685244578858e+00,2.106156342361e+00,3.496347006794e+44
308,1.320013471042e+00,2.360176181440e+00,3.516493164932e+44
309,2.286702041142e+00,1.629477181086e+00,3.516529746815e+44
310,1.325615664359e+00,1.106218704739e+00,3.516513668154e+44
311,9.614187272047e-01,1.949476213706e+00,3.392067152233e+44
312,1.286267529456e+00,2.330655334272e+00,3.496328948814e+44
313,1.237104658427e+00,2.175871383605e+00,2.371597231464e+44
314,1.554285965077e+00,1.927908916430e+00,3.267358604008e+44
315,1.365096131557e+00,1.340896460409e+00,2.641689931772e+44
316,3.424692338766e+00,3.339433727127e+00,3.496356539354e+44
317,1.539031018919e+00,2.287768630061e+00,3.516499447319e+44
318,3.985116135778e+00,1.402355844468e+00,3.516537093569e+44
319,1.561801921498e+00,2.854744762650e+00,3.496354314411e+44
320,2.170988059376e+00,1.565065082580e+00,3.496340199283e+44
321,2.121127290221e+00,1.208153249931e+00,3.410529208266e+44
322,1.741894761961e+00,5.183302244891e+00,2.646489344720e+44
323,1.865209312670e+00,3.119743307295e+00,3.516510020646e+44
324,1.894277243909e+00,2.769607304631e+00,2.883384263936e+44
325,2.163249823441e+00,2.735358652179e+00,2.373304800453e+44
326,1.599149392024e+00,2.944627769152e+00,3.503385416942e+44
327,1.040151031704e+00,1.065189965023e+00,3.496352300568e+44
328,1.077022352319e+00,1.674475101866e+00,3.275168359017e+44
329,2.932810165368e+00,5.904232341233e+00,3.516505425899e+44
330,1.440091205744e+00,9.033894420745e-01,2.370592216322e+44
331,1.769956711759e+00,1.811004651126e+00,1.179404979101e+44
332,1.956410751890e+00,5.292198509638e+00,1.177381207010e+44
333,2.203624378500e+00,1.764417021564e+00,3.403154223159e+44
334,1.312084841178e+00,8.498721629969e-01,3.265912563562e+44
335,1.108311678656e+00,1.531728235496e+00,2.637660671954e+44
336,2.026412148519e+00,1.028625818448e+00,3.496353907658e+44
337,1.429462339169e+00,1.527432627358e+00,3.482593113289e+44
338,1.801894363231e+00,1.455540537067e+00,3.516512600351e+44
339,2.288157631862e+00,2.047459054035e+00,3.393145384276e+44
340,2.733795805841e+00,2.437143834542e+00,3.212337419006e+44
341,2.750206360048e+00,3.200384676167e+00,3.470385896371e+44
342,2.372115457235e+00,1.535740909199e+00,3.495792424723e+44
343,1.895757094704e+00,1.413391587447e+00,3.481032526648e+44
344,1.741452443211e+00,9.513349984860e-01,3.504665068825e+44
345,1.146244038095e+00,1.656697071390e+00,3.496343129652e+44
346,2.239704601993e+00,2.212446349831e+00,3.496357871926e+44
347,1.266793256069e+00,1.414256597844e+00,3.496344466943e+44
348,2.811686400946e+00,1.428248416582e+00,3.516514890903e+44
349,1.828248690143e+00,2.037570141493e+00,2.647013026675e+44
350,1.440411610955e+00,1.731690805384e+00,3.269681048051e+44
351,1.615538797279e+00,1.923542512323e+00,1.464242301118e+44
352,2.285012032816e+00,1.119105474053e+00,1.765693247570e+44
353,3.625096731254e+00,1.201045496751e+01,2.363865615766e+44
354,2.211878602569e+00,1.274789429315e+00,2.635720619956e+44
355,1.986528457487e+00,3.716295196353e+00,1.475528860156e+44
356,1.555391863500e+00,1.337660643570e+00,1.475531529791e+44
357,1.568806929120e+00,2.867838045903e+00,2.880073065869e+44
358,2.140590392231e+00,1.246656174495e+00,3.516506038542e+44
359,2.145666861105e+00,2.762317966009e+00,2.372281822968e+44
360,1.881803338706e+00,2.057829363156e+00,1.182728532229e+44
361,1.243052619619e+00,1.172072961425e+00,3.212317551657e+44
362,1.828971682822e+00,1.976515443298e+00,3.504669944722e+44
363,3.143233852592e+00,2.167295972007e+00,3.516506561670e+44
364,1.795249190581e+00,1.723392672813e+00,1.878624509600e+44
365,2.513731705321e+00,1.530835100364e+00,3.516515114826e+44
366,1.918416783851e+00,2.213183377142e+00,3.496313188328e+44
367,1.803126497350e+00,1.413311997128e+00,1.768277124705e+44
368,1.970721842435e+00,2.776439172620e+00,3.213856515127e+44
369,2.369871551603e+00,5.440795110877e+00,3.502984226583e+44
370,1.776145764033e+00,3.590190194107e+00,3.281121660017e+44
371,1.699170258114e+00,1.405680118969e+00,3.516524416512e+44
372,3.865099977114e+00,1.842807537704e+00,3.516507118332e+44
373,1.774771220631e+00,1.941271137408e+00,2.633956108590e+44
374,3.910099455557e+00,3.030468514476e+00,2.880688743713e+44
375,2.277180606150e+00,2.585282777254e+00,2.362470465889e+44
376,2.120218008968e+00,1.201125484438e+00,3.516517658887e+44
377,2.579797520682e+00,3.223277896190e+00,3.516499448745e+44
378,2.652615401023e+00,6.405331944862e+00,3.496356870116e+44
379,1.792585090255e+00,1.236821420117e+00,3.496329982384e+44
380,1.398008217223e+00,1.108781025405e+00,3.398595030127e+44
381,1.609578720186e+00,1.750890148213e+00,3.516524756370e+44
382,1.589307237730e+00,1.797252232639e+00,3.516521527716e+44
383,1.281997871644e+00,2.039372268294e+00,3.516518638979e+44
384,8.308982957674e-01,2.463992136408e+00,3.496335063314e+44
385,4.495919666372e+00,1.441608131534e+00,3.496363932759e+44
386,3.258605230427e+00,1.886663323732e+00,3.516494440744e+44
387,1.314073094586e+00,1.127600890509e+00,3.395299986251e+44
388,1.718251131625e+00,1.940166450446e+00,3.496347450886e+44
389,1.574230964658e+00,1.795513588263e+00,3.496331501601e+44
390,1.357730947862e+00,1.203287805724e+00,3.496341772187e+44
391,2.890688418274e+00,2.934113698335e+00,3.470064652217e+44
392,1.844981164642e+00,1.814857089221e+00,3.496332761346e+44
393,2.182926415721e+00,4.868264848354e+00,3.496356321344e+44
394,2.011870440173e+00,1.522615683202e+00,3.496349002736e+44
395,1.978604269555e+00,2.231302589290e+00,3.496336498475e+44
396,1.305641199969e+00,1.320111736887e+00,3.496349991360e+44
397,4.148707137610e+00,1.504086181619e+00,3.398592958745e+44
398,1.173981426325e+00,1.374932457483e+00,3.211422977347e+44
399,1.645438591411e+00,1.375000932808e+00,1.181034640652e+44
400,1.566170561836e+00,8.747691877702e-01,3.496318800477e+44
401,2.015820256225e+00,1.376060320107e+00,3.516497951918e+44
402,1.496836921059e+00,2.207663350873e+00,1.877418473203e+44
403,2.183340782377e+00,2.103602823959e+00,3.516503598472e+44
404,2.155758239635e+00,1.588557849976e+00,3.496357572556e+44
405,1.697637085239e+00,1.826290636157e+00,3.516497277720e+44
406,1.460880990697e+00,2.510014648926e+00,3.212108152568e+44
407,4.139793029333e+00,1.319332331917e+00,3.516516182229e+44
408,2.725816152735e+00,1.905564990115e+00,3.496329815811e+44
409,1.168818818165e+00,1.743144438944e+00,1.880076475917e+44
410,1.503754023561e+00,1.224294925886e+00,3.496346814910e+44
411,3.017499828411e+00,1.318002060798e+00,3.278410045221e+44
412,1.280858780643e+00,8.498351678138e-01,1.871793287274e+44
413,2.367871582986e+00,2.001725387092e+00,3.408076084874e+44
414,1.627093428566e+00,3.135068746800e+00,3.496339130581e+44
415,2.369554707648e+00,2.351260266563e+00,3.481049939565e+44
416,1.707907515490e+00,1.436381904328e+00,3.516527504886e+44
417,1.910094841932e+00,2.125185471365e+00,3.516489331576e+44
418,2.392504899465e+00,3.101739566984e+00,2.630506705692e+44
419,1.306495205540e+00,1.855134103965e+00,3.516503776853e+44
420,2.519650210664e+00,1.934360200113e+00,2.881257072740e+44
421,1.027132451703e+00,1.629496855724e+00,3.496346244962e+44
422,1.596691674940e+00,2.082165075797e+00,3.265913007526e+44
423,3.559042450067e+00,1.166102497697e+00,2.371602005181e+44
424,2.230382393952e+00,1.707426961314e+00,3.496331531355e+44
425,1.379321685971e+00,1.759218460012e+00,3.516529715937e+44
426,2.008230083795e+00,2.991356602073e+00,3.273451026712e+44
427,1.367743932736e+00,1.223480074215e+00,3.516530432907e+44
428,1.623730295663e+00,2.016631421459e+00,3.496349520114e+44
429,2.005100130206e+00,1.730173583283e+00,1.469290398077e+44
430,1.476540777947e+00,1.478906812562e+00,1.879104028984e+44
431,1.074363301494e+00,1.651462221661e+00,3.408066742840e+44
432,1.726500543384e+00,2.138252097394e+00,3.485433831380e+44
433,2.071878625532e+00,2.026842872412e+00,3.516511124379e+44
434,1.432280745413e+00,1.856048239787e+00,2.631375382874e+44
435,9.682338615145e-01,1.117926054504e+00,1.476772134592e+44
