symbol,atomic_number,period,group,dominant_band,band_strength,spectral_entropy,concentration_ratio
Tb,65,6,3,b31,345.0,1.3452838596540233,0.4116945107398568
Tc,43,5,7,b10,600.0,0.9978164045571758,0.6749156355455568
Te,52,5,16,b32,115.0,1.1411042386106454,0.46
Th,90,7,3,b10,9147.0,0.8472281368606536,0.6453365316777198
Ti,22,4,4,b10,2478.0,1.0836783280872502,0.540222367560497
Tl,81,6,13,b32,55.0,1.2736140056149308,0.4166666666666667
Tm,69,6,3,b10,538.0,1.1564837755900061,0.46539792387543255
U,92,7,3,b10,161.0,0.5941396210506695,0.7419354838709677
V,23,4,5,b10,2975.0,0.9808118175687977,0.6801554641060814
W,74,6,6,b32,337.0,0.86852616164267,0.6633858267716536
Xe,54,5,18,b10,559.0,1.4092071016752654,0.3531269740998105
Y,39,5,3,b10,342.0,1.162530398474448,0.6173285198555957
Yb,70,6,3,b32,203.0,0.9506075834291319,0.5935672514619883
Zn,30,4,12,b32,206.0,1.726629311735789,0.25
Zr,40,5,4,b10,458.0,1.0637147004264662,0.6387726638772664
